,R_fighter,B_fighter,weight_class,rounds,title_bout,prediction
154,Casey Kenney,Max Griffin,Welterweight,5,0,[0.39202626 0.60797374]
155,Casey Kenney,Frankie Edgar,Welterweight,5,0,[0.40445968 0.59554032]
156,Casey Kenney,Drew Dober,Welterweight,5,0,[0.39615005 0.60384995]
157,Casey Kenney,Calvin Kattar,Welterweight,5,0,[0.41238213 0.58761787]
158,Casey Kenney,Alistair Overeem,Welterweight,5,0,[0.45560547 0.54439453]
159,Casey Kenney,Derek Brunson,Welterweight,5,0,[0.35498795 0.64501205]
160,Casey Kenney,Li Jingliang,Welterweight,5,0,[0.40855526 0.59144474]
161,Casey Kenney,Jared Gordon,Welterweight,5,0,[0.28599498 0.71400502]
162,Casey Kenney,Beneil Dariush,Welterweight,5,0,[0.31209111 0.68790889]
163,Casey Kenney,Cortney Casey,Welterweight,5,0,[0.5401774 0.4598226]
164,Casey Kenney,Andre Ewell,Welterweight,5,0,[0.50086081 0.49913919]
165,Casey Kenney,Jonathan Martinez,Welterweight,5,0,[0.46407092 0.53592908]
166,Casey Kenney,Rani Yahya,Welterweight,5,0,[0.37890834 0.62109166]
167,Casey Kenney,Alexa Grasso,Welterweight,5,0,[0.43340228 0.56659772]
168,Casey Kenney,Cory Sandhagen,Welterweight,5,0,[0.36163787 0.63836213]
169,Casey Kenney,Brian Kelleher,Welterweight,5,0,[0.49948232 0.50051768]
170,Casey Kenney,Clay Guida,Welterweight,5,0,[0.46256432 0.53743568]
171,Casey Kenney,Alexis Davis,Welterweight,5,0,[0.34725874 0.65274126]
172,Casey Kenney,Andrei Arlovski,Welterweight,5,0,[0.4975582 0.5024418]
173,Casey Kenney,Douglas Silva de Andrade,Welterweight,5,0,[0.50028919 0.49971081]
174,Casey Kenney,Antonio Carlos Junior,Welterweight,5,0,[0.35648872 0.64351128]
175,Matt Schnell,Tim Elliott,Welterweight,5,0,[0.27408519 0.72591481]
176,Matt Schnell,Santiago Ponzinibbio,Welterweight,5,0,[0.32144421 0.67855579]
177,Matt Schnell,Roxanne Modafferi,Welterweight,5,0,[0.33071199 0.66928801]
178,Matt Schnell,Dhiego Lima,Welterweight,5,0,[0.33340504 0.66659496]
179,Matt Schnell,Ricky Simon,Welterweight,5,0,[0.22798006 0.77201994]
180,Matt Schnell,Sara McMann,Welterweight,5,0,[0.31023643 0.68976357]
181,Matt Schnell,Joanne Calderwood,Welterweight,5,0,[0.26107389 0.73892611]
182,Matt Schnell,Alex Caceres,Welterweight,5,0,[0.28089653 0.71910347]
183,Matt Schnell,Petr Yan,Welterweight,5,0,[0.2514172 0.7485828]
184,Matt Schnell,Matt Brown,Welterweight,5,0,[0.32341529 0.67658471]
185,Matt Schnell,Dan Ige,Welterweight,5,0,[0.22738855 0.77261145]
186,Matt Schnell,Kamaru Usman,Welterweight,5,0,[0.27886056 0.72113944]
187,Matt Schnell,Sarah Moras,Welterweight,5,0,[0.2399568 0.7600432]
188,Matt Schnell,Leonardo Santos,Welterweight,5,0,[0.29564498 0.70435502]
189,Matt Schnell,Thiago Santos,Welterweight,5,0,[0.34451271 0.65548729]
190,Matt Schnell,Andrew Sanchez,Welterweight,5,0,[0.26378772 0.73621228]
191,Matt Schnell,Curtis Blaydes,Welterweight,5,0,[0.37611337 0.62388663]
192,Matt Schnell,Angela Hill,Welterweight,5,0,[0.30430661 0.69569339]
193,Matt Schnell,Kai Kara-France,Welterweight,5,0,[0.20332511 0.79667489]
194,Matt Schnell,Nik Lentz,Welterweight,5,0,[0.36024822 0.63975178]
195,Matt Schnell,Conor McGregor,Welterweight,5,0,[0.22533454 0.77466546]
196,Matt Schnell,Alexander Volkov,Welterweight,5,0,[0.33088663 0.66911337]
197,Matt Schnell,Trevin Giles,Welterweight,5,0,[0.21968995 0.78031005]
198,Matt Schnell,Nikita Krylov,Welterweight,5,0,[0.36416285 0.63583715]
199,Matt Schnell,Davey Grant,Welterweight,5,0,[0.37426156 0.62573844]
200,Matt Schnell,Dominick Cruz,Welterweight,5,0,[0.36513492 0.63486508]
201,Matt Schnell,Gilbert Burns,Welterweight,5,0,[0.30790019 0.69209981]
202,Matt Schnell,Brad Tavares,Welterweight,5,0,[0.31832246 0.68167754]
203,Matt Schnell,Ketlen Vieira,Welterweight,5,0,[0.25477498 0.74522502]
204,Matt Schnell,Amanda Nunes,Welterweight,5,0,[0.19063196 0.80936804]
205,Matt Schnell,Derrick Lewis,Welterweight,5,0,[0.26282387 0.73717613]
206,Matt Schnell,Kelvin Gastelum,Welterweight,5,0,[0.3805858 0.6194142]
207,Matt Schnell,Aleksei Oleinik,Welterweight,5,0,[0.46090921 0.53909079]
208,Matt Schnell,Islam Makhachev,Welterweight,5,0,[0.18527809 0.81472191]
209,Matt Schnell,Joseph Benavidez,Welterweight,5,0,[0.42548262 0.57451738]
210,Matt Schnell,Diego Ferreira,Welterweight,5,0,[0.26856274 0.73143726]
211,Matt Schnell,Charles Rosa,Welterweight,5,0,[0.5295654 0.4704346]
212,Matt Schnell,Jake Matthews,Welterweight,5,0,[0.22595604 0.77404396]
213,Matt Schnell,Khalil Rountree Jr.,Welterweight,5,0,[0.37267916 0.62732084]
214,Matt Schnell,Misha Cirkunov,Welterweight,5,0,[0.5426927 0.4573073]
215,Matt Schnell,Aljamain Sterling,Welterweight,5,0,[0.25285071 0.74714929]
216,Matt Schnell,Eddie Wineland,Welterweight,5,0,[0.50066173 0.49933827]
217,Matt Schnell,Belal Muhammad,Welterweight,5,0,[0.21406566 0.78593434]
218,Matt Schnell,Julianna Pena,Welterweight,5,0,[0.25038795 0.74961205]
219,Matt Schnell,Tom Breese,Welterweight,5,0,[0.24844736 0.75155264]
220,Matt Schnell,Jairzinho Rozenstruik,Welterweight,5,0,[0.28868967 0.71131033]
221,Matt Schnell,Neil Magny,Welterweight,5,0,[0.31979458 0.68020542]
222,Matt Schnell,Jimmie Rivera,Welterweight,5,0,[0.30029506 0.69970494]
223,Matt Schnell,Marion Reneau,Welterweight,5,0,[0.38504613 0.61495387]
224,Matt Schnell,Warlley Alves,Welterweight,5,0,[0.33422983 0.66577017]
225,Matt Schnell,Max Holloway,Welterweight,5,0,[0.35257295 0.64742705]
226,Matt Schnell,Jessica Eye,Welterweight,5,0,[0.46472486 0.53527514]
227,Matt Schnell,Dustin Poirier,Welterweight,5,0,[0.28355533 0.71644467]
228,Matt Schnell,Kevin Holland,Welterweight,5,0,[0.1986586 0.8013414]
229,Matt Schnell,Michael Johnson,Welterweight,5,0,[0.46336221 0.53663779]
230,Matt Schnell,Israel Adesanya,Welterweight,5,0,[0.26218287 0.73781713]
231,Matt Schnell,Alessio Di Chirico,Welterweight,5,0,[0.37396807 0.62603193]
232,Matt Schnell,Carlos Condit,Welterweight,5,0,[0.24685873 0.75314127]
233,Matt Schnell,Aleksandar Rakic,Welterweight,5,0,[0.30737131 0.69262869]
234,Matt Schnell,Omari Akhmedov,Welterweight,5,0,[0.27064582 0.72935418]
235,Matt Schnell,JJ Aldrich,Welterweight,5,0,[0.32979554 0.67020446]
236,Matt Schnell,Pedro Munhoz,Welterweight,5,0,[0.26289781 0.73710219]
237,Matt Schnell,Michael Chiesa,Welterweight,5,0,[0.30041227 0.69958773]
238,Matt Schnell,Ashley Yoder,Welterweight,5,0,[0.30186943 0.69813057]
239,Matt Schnell,Jan Blachowicz,Welterweight,5,0,[0.28531759 0.71468241]
240,Matt Schnell,Max Griffin,Welterweight,5,0,[0.38359295 0.61640705]
241,Matt Schnell,Frankie Edgar,Welterweight,5,0,[0.38995159 0.61004841]
242,Matt Schnell,Drew Dober,Welterweight,5,0,[0.28523531 0.71476469]
243,Matt Schnell,Calvin Kattar,Welterweight,5,0,[0.20505703 0.79494297]
244,Matt Schnell,Alistair Overeem,Welterweight,5,0,[0.32174951 0.67825049]
245,Matt Schnell,Derek Brunson,Welterweight,5,0,[0.25077314 0.74922686]
246,Matt Schnell,Li Jingliang,Welterweight,5,0,[0.30264127 0.69735873]
247,Matt Schnell,Jared Gordon,Welterweight,5,0,[0.27886614 0.72113386]
248,Matt Schnell,Beneil Dariush,Welterweight,5,0,[0.23143103 0.76856897]
249,Matt Schnell,Cortney Casey,Welterweight,5,0,[0.37282146 0.62717854]
250,Matt Schnell,Andre Ewell,Welterweight,5,0,[0.32499348 0.67500652]
251,Matt Schnell,Jonathan Martinez,Welterweight,5,0,[0.21234651 0.78765349]
252,Matt Schnell,Rani Yahya,Welterweight,5,0,[0.3416515 0.6583485]
253,Matt Schnell,Alexa Grasso,Welterweight,5,0,[0.20450668 0.79549332]
254,Matt Schnell,Cory Sandhagen,Welterweight,5,0,[0.29648966 0.70351034]
255,Matt Schnell,Brian Kelleher,Welterweight,5,0,[0.3793031 0.6206969]
256,Matt Schnell,Clay Guida,Welterweight,5,0,[0.42620656 0.57379344]
257,Matt Schnell,Alexis Davis,Welterweight,5,0,[0.23726058 0.76273942]
258,Matt Schnell,Andrei Arlovski,Welterweight,5,0,[0.45591632 0.54408368]
259,Matt Schnell,Douglas Silva de Andrade,Welterweight,5,0,[0.34710937 0.65289063]
260,Matt Schnell,Antonio Carlos Junior,Welterweight,5,0,[0.37428563 0.62571437]
261,Tim Elliott,Santiago Ponzinibbio,Welterweight,5,0,[0.51257219 0.48742781]
262,Tim Elliott,Roxanne Modafferi,Welterweight,5,0,[0.63052723 0.36947277]
263,Tim Elliott,Dhiego Lima,Welterweight,5,0,[0.46747468 0.53252532]
264,Tim Elliott,Ricky Simon,Welterweight,5,0,[0.34516283 0.65483717]
265,Tim Elliott,Sara McMann,Welterweight,5,0,[0.43763788 0.56236212]
266,Tim Elliott,Joanne Calderwood,Welterweight,5,0,[0.46941955 0.53058045]
267,Tim Elliott,Alex Caceres,Welterweight,5,0,[0.46119562 0.53880438]
268,Tim Elliott,Petr Yan,Welterweight,5,0,[0.43940327 0.56059673]
269,Tim Elliott,Matt Brown,Welterweight,5,0,[0.53271877 0.46728123]
270,Tim Elliott,Dan Ige,Welterweight,5,0,[0.37110508 0.62889492]
271,Tim Elliott,Kamaru Usman,Welterweight,5,0,[0.34238042 0.65761958]
272,Tim Elliott,Sarah Moras,Welterweight,5,0,[0.43467334 0.56532666]
273,Tim Elliott,Leonardo Santos,Welterweight,5,0,[0.49334671 0.50665329]
274,Tim Elliott,Thiago Santos,Welterweight,5,0,[0.47767907 0.52232093]
275,Tim Elliott,Andrew Sanchez,Welterweight,5,0,[0.43661839 0.56338161]
276,Tim Elliott,Curtis Blaydes,Welterweight,5,0,[0.412017 0.587983]
277,Tim Elliott,Angela Hill,Welterweight,5,0,[0.45940158 0.54059842]
278,Tim Elliott,Kai Kara-France,Welterweight,5,0,[0.4394526 0.5605474]
279,Tim Elliott,Nik Lentz,Welterweight,5,0,[0.53501302 0.46498698]
280,Tim Elliott,Conor McGregor,Welterweight,5,0,[0.35711239 0.64288761]
281,Tim Elliott,Alexander Volkov,Welterweight,5,0,[0.49261817 0.50738183]
282,Tim Elliott,Trevin Giles,Welterweight,5,0,[0.34462796 0.65537204]
283,Tim Elliott,Nikita Krylov,Welterweight,5,0,[0.4647195 0.5352805]
284,Tim Elliott,Davey Grant,Welterweight,5,0,[0.41781146 0.58218854]
285,Tim Elliott,Dominick Cruz,Welterweight,5,0,[0.534084 0.465916]
286,Tim Elliott,Gilbert Burns,Welterweight,5,0,[0.41093259 0.58906741]
287,Tim Elliott,Brad Tavares,Welterweight,5,0,[0.5453731 0.4546269]
288,Tim Elliott,Ketlen Vieira,Welterweight,5,0,[0.52350967 0.47649033]
289,Tim Elliott,Amanda Nunes,Welterweight,5,0,[0.43864074 0.56135926]
290,Tim Elliott,Derrick Lewis,Welterweight,5,0,[0.43282468 0.56717532]
291,Tim Elliott,Kelvin Gastelum,Welterweight,5,0,[0.51481304 0.48518696]
292,Tim Elliott,Aleksei Oleinik,Welterweight,5,0,[0.56756961 0.43243039]
293,Tim Elliott,Islam Makhachev,Welterweight,5,0,[0.32289873 0.67710127]
294,Tim Elliott,Joseph Benavidez,Welterweight,5,0,[0.55666542 0.44333458]
295,Tim Elliott,Diego Ferreira,Welterweight,5,0,[0.45954114 0.54045886]
296,Tim Elliott,Charles Rosa,Welterweight,5,0,[0.53471623 0.46528377]
297,Tim Elliott,Jake Matthews,Welterweight,5,0,[0.36023177 0.63976823]
298,Tim Elliott,Khalil Rountree Jr.,Welterweight,5,0,[0.44416739 0.55583261]
299,Tim Elliott,Misha Cirkunov,Welterweight,5,0,[0.44016109 0.55983891]
300,Tim Elliott,Aljamain Sterling,Welterweight,5,0,[0.4636088 0.5363912]
301,Tim Elliott,Eddie Wineland,Welterweight,5,0,[0.61369981 0.38630019]
302,Tim Elliott,Belal Muhammad,Welterweight,5,0,[0.37843551 0.62156449]
303,Tim Elliott,Julianna Pena,Welterweight,5,0,[0.36161837 0.63838163]
304,Tim Elliott,Tom Breese,Welterweight,5,0,[0.37020884 0.62979116]
305,Tim Elliott,Jairzinho Rozenstruik,Welterweight,5,0,[0.38547202 0.61452798]
306,Tim Elliott,Neil Magny,Welterweight,5,0,[0.4505303 0.5494697]
307,Tim Elliott,Jimmie Rivera,Welterweight,5,0,[0.39066418 0.60933582]
308,Tim Elliott,Marion Reneau,Welterweight,5,0,[0.49936116 0.50063884]
309,Tim Elliott,Warlley Alves,Welterweight,5,0,[0.44877557 0.55122443]
310,Tim Elliott,Max Holloway,Welterweight,5,0,[0.44645069 0.55354931]
311,Tim Elliott,Jessica Eye,Welterweight,5,0,[0.67464733 0.32535267]
312,Tim Elliott,Dustin Poirier,Welterweight,5,0,[0.37632116 0.62367884]
313,Tim Elliott,Kevin Holland,Welterweight,5,0,[0.33299283 0.66700717]
314,Tim Elliott,Michael Johnson,Welterweight,5,0,[0.55439495 0.44560505]
315,Tim Elliott,Israel Adesanya,Welterweight,5,0,[0.37010111 0.62989889]
316,Tim Elliott,Alessio Di Chirico,Welterweight,5,0,[0.50825779 0.49174221]
317,Tim Elliott,Carlos Condit,Welterweight,5,0,[0.43127886 0.56872114]
318,Tim Elliott,Aleksandar Rakic,Welterweight,5,0,[0.35773835 0.64226165]
